meeting,min_iou,one_to_one_rate,one_to_one,split,merge,tangle,unmatched_a,unmatched_b
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",0.5,0.989,179,0,0,0,2,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",0.75,0.989,179,0,0,0,2,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",0.05,0.9759,162,0,1,1,0,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",0.1,0.9759,162,0,1,1,0,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",0.25,0.994,165,0,0,0,1,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",0.5,0.988,164,0,0,0,2,1
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",0.75,0.988,164,0,0,0,2,1
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",0.05,0.9897,193,0,1,0,0,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",0.1,0.9897,193,0,1,0,0,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",0.25,0.9897,193,0,1,0,0,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",0.5,0.9949,194,0,0,0,1,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",0.75,0.9897,193,0,0,0,2,1
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",0.05,0.9789,93,0,1,0,0,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",0.1,0.9789,93,0,1,0,0,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",0.25,0.9789,93,0,1,0,0,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",0.5,0.9895,94,0,0,0,1,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",0.75,0.9789,93,0,0,0,2,1
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",0.05,1.0,117,0,0,0,0,0
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",0.1,1.0,117,0,0,0,0,0
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",0.25,1.0,117,0,0,0,0,0
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",0.5,1.0,117,0,0,0,0,0
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",0.75,1.0,117,0,0,0,0,0
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",0.05,0.8571,30,0,1,1,0,2
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",0.1,0.8571,30,0,1,1,1,2
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",0.25,0.8571,30,0,1,1,1,2
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",0.5,0.9143,32,0,0,0,3,3
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",0.75,0.8571,30,0,0,0,5,5
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",0.05,0.9548,211,1,2,2,0,0
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",0.1,0.9548,211,1,2,2,0,0
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",0.25,0.9774,216,0,0,1,3,2
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",0.5,0.9774,216,0,0,0,5,4
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",0.75,0.9683,214,0,0,0,7,6
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",0.05,0.9855,271,1,1,0,0,0
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",0.1,0.9855,271,1,1,0,0,0
